nodenumber,    x-coordinate,    y-coordinate,        pressure,         density,      x-velocity,      y-velocity,     temperature,    total-energy, internal-energy
         1, 2.978723404E-03, 0.000000000E+00, 8.455453934E+04, 1.033922521E+00, 1.742740452E+02, 0.000000000E+00, 2.849112989E+02, 2.201486561E+05, 2.049629346E+05
         2, 5.957446809E-03, 0.000000000E+00, 8.455020008E+04, 1.033883905E+00, 1.742970316E+02, 0.000000000E+00, 2.849073184E+02, 2.201497986E+05, 2.049600711E+05
         3, 8.936170213E-03, 0.000000000E+00, 8.454393102E+04, 1.033829154E+00, 1.743318899E+02, 0.000000000E+00, 2.849012812E+02, 2.201515316E+05, 2.049557280E+05
         4, 1.191489362E-02, 0.000000000E+00, 8.453514696E+04, 1.033752332E+00, 1.743805593E+02, 0.000000000E+00, 2.848928499E+02, 2.201539516E+05, 2.049496626E+05
         5, 1.489361702E-02, 0.000000000E+00, 8.452387824E+04, 1.033653805E+00, 1.744430261E+02, 0.000000000E+00, 2.848820251E+02, 2.201570588E+05, 2.049418753E+05
         6, 1.787234043E-02, 0.000000000E+00, 8.451010723E+04, 1.033533407E+00, 1.745193625E+02, 0.000000000E+00, 2.848687915E+02, 2.201608573E+05, 2.049323552E+05
         7, 2.085106383E-02, 0.000000000E+00, 8.449382666E+04, 1.033391069E+00, 1.746095901E+02, 0.000000000E+00, 2.848531424E+02, 2.201653492E+05, 2.049210973E+05
         8, 2.382978723E-02, 0.000000000E+00, 8.447503209E+04, 1.033226747E+00, 1.747137163E+02, 0.000000000E+00, 2.848350726E+02, 2.201705359E+05, 2.049080980E+05
         9, 2.680851064E-02, 0.000000000E+00, 8.445371873E+04, 1.033040394E+00, 1.748317478E+02, 0.000000000E+00, 2.848145766E+02, 2.201764190E+05, 2.048933534E+05
        10, 2.978723404E-02, 0.000000000E+00, 8.442988146E+04, 1.032831960E+00, 1.749636909E+02, 0.000000000E+00, 2.847916485E+02, 2.201830002E+05, 2.048768591E+05
        11, 3.276595745E-02, 0.000000000E+00, 8.440351477E+04, 1.032601390E+00, 1.751095526E+02, 0.000000000E+00, 2.847662816E+02, 2.201902815E+05, 2.048586104E+05
        12, 3.574468085E-02, 0.000000000E+00, 8.437461267E+04, 1.032348627E+00, 1.752693399E+02, 0.000000000E+00, 2.847384686E+02, 2.201982649E+05, 2.048386019E+05
        13, 3.872340426E-02, 0.000000000E+00, 8.434316881E+04, 1.032073608E+00, 1.754430600E+02, 0.000000000E+00, 2.847082016E+02, 2.202069526E+05, 2.048168281E+05
        14, 4.170212766E-02, 0.000000000E+00, 8.430917638E+04, 1.031776265E+00, 1.756307200E+02, 0.000000000E+00, 2.846754722E+02, 2.202163472E+05, 2.047932828E+05
        15, 4.468085106E-02, 0.000000000E+00, 8.427262825E+04, 1.031456530E+00, 1.758323267E+02, 0.000000000E+00, 2.846402713E+02, 2.202264512E+05, 2.047679596E+05
        16, 4.765957447E-02, 0.000000000E+00, 8.423351692E+04, 1.031114327E+00, 1.760478865E+02, 0.000000000E+00, 2.846025896E+02, 2.202372673E+05, 2.047408516E+05
        17, 5.063829787E-02, 0.000000000E+00, 8.419183460E+04, 1.030749581E+00, 1.762774050E+02, 0.000000000E+00, 2.845624169E+02, 2.202487984E+05, 2.047119517E+05
        18, 5.361702128E-02, 0.000000000E+00, 8.414757327E+04, 1.030362210E+00, 1.765208869E+02, 0.000000000E+00, 2.845197429E+02, 2.202610474E+05, 2.046812524E+05
        19, 5.659574468E-02, 0.000000000E+00, 8.410072466E+04, 1.029952132E+00, 1.767783358E+02, 0.000000000E+00, 2.844745570E+02, 2.202740175E+05, 2.046487460E+05
        20, 5.957446809E-02, 0.000000000E+00, 8.405128035E+04, 1.029519264E+00, 1.770497541E+02, 0.000000000E+00, 2.844268478E+02, 2.202877118E+05, 2.046144244E+05
        21, 6.255319149E-02, 0.000000000E+00, 8.399923177E+04, 1.029063517E+00, 1.773351423E+02, 0.000000000E+00, 2.843766041E+02, 2.203021337E+05, 2.045782795E+05
        22, 6.553191489E-02, 0.000000000E+00, 8.394457026E+04, 1.028584805E+00, 1.776344998E+02, 0.000000000E+00, 2.843238140E+02, 2.203172864E+05, 2.045403027E+05
        23, 6.851063830E-02, 0.000000000E+00, 8.388728709E+04, 1.028083037E+00, 1.779478236E+02, 0.000000000E+00, 2.842684656E+02, 2.203331735E+05, 2.045004855E+05
        24, 7.148936170E-02, 0.000000000E+00, 8.382737350E+04, 1.027558124E+00, 1.782751090E+02, 0.000000000E+00, 2.842105467E+02, 2.203497984E+05, 2.044588191E+05
        25, 7.446808511E-02, 0.000000000E+00, 8.376482073E+04, 1.027009975E+00, 1.786163493E+02, 0.000000000E+00, 2.841500449E+02, 2.203671647E+05, 2.044152945E+05
        26, 7.744680851E-02, 0.000000000E+00, 8.369962003E+04, 1.026438497E+00, 1.789715354E+02, 0.000000000E+00, 2.840869475E+02, 2.203852760E+05, 2.043699028E+05
        27, 8.042553191E-02, 0.000000000E+00, 8.363176269E+04, 1.025843600E+00, 1.793406560E+02, 0.000000000E+00, 2.840212419E+02, 2.204041361E+05, 2.043226347E+05
        28, 8.340425532E-02, 0.000000000E+00, 8.356124005E+04, 1.025225191E+00, 1.797236977E+02, 0.000000000E+00, 2.839529150E+02, 2.204237485E+05, 2.042734809E+05
        29, 8.638297872E-02, 0.000000000E+00, 8.348804349E+04, 1.024583176E+00, 1.801206446E+02, 0.000000000E+00, 2.838819539E+02, 2.204441170E+05, 2.042224320E+05
        30, 8.936170213E-02, 0.000000000E+00, 8.341216449E+04, 1.023917465E+00, 1.805314789E+02, 0.000000000E+00, 2.838083452E+02, 2.204652455E+05, 2.041694785E+05
        31, 9.234042553E-02, 0.000000000E+00, 8.333359454E+04, 1.023227962E+00, 1.809561803E+02, 0.000000000E+00, 2.837320756E+02, 2.204871377E+05, 2.041146108E+05
        32, 9.531914894E-02, 0.000000000E+00, 8.325232521E+04, 1.022514576E+00, 1.813947267E+02, 0.000000000E+00, 2.836531316E+02, 2.205097976E+05, 2.040578191E+05
        33, 9.829787234E-02, 0.000000000E+00, 8.316834808E+04, 1.021777212E+00, 1.818470941E+02, 0.000000000E+00, 2.835714993E+02, 2.205332292E+05, 2.039990935E+05
        34, 1.012765957E-01, 0.000000000E+00, 8.308165474E+04, 1.021015776E+00, 1.823132567E+02, 0.000000000E+00, 2.834871649E+02, 2.205574364E+05, 2.039384239E+05
        35, 1.042553191E-01, 0.000000000E+00, 8.299223678E+04, 1.020230171E+00, 1.827931875E+02, 0.000000000E+00, 2.834001140E+02, 2.205824233E+05, 2.038758002E+05
        36, 1.072340426E-01, 0.000000000E+00, 8.290008572E+04, 1.019420302E+00, 1.832868577E+02, 0.000000000E+00, 2.833103321E+02, 2.206081941E+05, 2.038112118E+05
        37, 1.102127660E-01, 0.000000000E+00, 8.280519300E+04, 1.018586069E+00, 1.837942380E+02, 0.000000000E+00, 2.832178045E+02, 2.206347530E+05, 2.037446482E+05
        38, 1.131914894E-01, 0.000000000E+00, 8.270754994E+04, 1.017727373E+00, 1.843152981E+02, 0.000000000E+00, 2.831225159E+02, 2.206621044E+05, 2.036760983E+05
        39, 1.161702128E-01, 0.000000000E+00, 8.260714768E+04, 1.016844109E+00, 1.848500074E+02, 0.000000000E+00, 2.830244508E+02, 2.206902528E+05, 2.036055510E+05
        40, 1.191489362E-01, 0.000000000E+00, 8.250397713E+04, 1.015936174E+00, 1.853983350E+02, 0.000000000E+00, 2.829235929E+02, 2.207192028E+05, 2.035329947E+05
        41, 1.221276596E-01, 0.000000000E+00, 8.239802895E+04, 1.015003457E+00, 1.859602503E+02, 0.000000000E+00, 2.828199258E+02, 2.207489592E+05, 2.034584174E+05
        42, 1.251063830E-01, 0.000000000E+00, 8.228929347E+04, 1.014045847E+00, 1.865357232E+02, 0.000000000E+00, 2.827134323E+02, 2.207795269E+05, 2.033818068E+05
        43, 1.280851064E-01, 0.000000000E+00, 8.217776064E+04, 1.013063226E+00, 1.871247244E+02, 0.000000000E+00, 2.826040946E+02, 2.208109110E+05, 2.033031501E+05
        44, 1.310638298E-01, 0.000000000E+00, 8.206341998E+04, 1.012055473E+00, 1.877272259E+02, 0.000000000E+00, 2.824918940E+02, 2.208431168E+05, 2.032224339E+05
        45, 1.340425532E-01, 0.000000000E+00, 8.194626055E+04, 1.011022461E+00, 1.883432012E+02, 0.000000000E+00, 2.823768115E+02, 2.208761498E+05, 2.031396445E+05
        46, 1.370212766E-01, 0.000000000E+00, 8.182627084E+04, 1.009964057E+00, 1.889726252E+02, 0.000000000E+00, 2.822588269E+02, 2.209100159E+05, 2.030547673E+05
        47, 1.400000000E-01, 0.000000000E+00, 8.170343879E+04, 1.008880123E+00, 1.896154754E+02, 0.000000000E+00, 2.821379192E+02, 2.209447210E+05, 2.029677872E+05
        48, 1.429787234E-01, 0.000000000E+00, 8.157775170E+04, 1.007770514E+00, 1.902717314E+02, 0.000000000E+00, 2.820140666E+02, 2.209802713E+05, 2.028786887E+05
        49, 1.459574468E-01, 0.000000000E+00, 8.144919617E+04, 1.006635076E+00, 1.909413753E+02, 0.000000000E+00, 2.818872462E+02, 2.210166736E+05, 2.027874551E+05
        50, 1.489361702E-01, 0.000000000E+00, 8.131775814E+04, 1.005473651E+00, 1.916243922E+02, 0.000000000E+00, 2.817574342E+02, 2.210539346E+05, 2.026940693E+05
        51, 1.519148936E-01, 0.000000000E+00, 8.118342274E+04, 1.004286071E+00, 1.923207702E+02, 0.000000000E+00, 2.816246055E+02, 2.210920614E+05, 2.025985134E+05
        52, 1.548936170E-01, 0.000000000E+00, 8.104617438E+04, 1.003072160E+00, 1.930305008E+02, 0.000000000E+00, 2.814887342E+02, 2.211310616E+05, 2.025007687E+05
        53, 1.578723404E-01, 0.000000000E+00, 8.090599662E+04, 1.001831734E+00, 1.937535787E+02, 0.000000000E+00, 2.813497929E+02, 2.211709430E+05, 2.024008154E+05
        54, 1.608510638E-01, 0.000000000E+00, 8.076287220E+04, 1.000564601E+00, 1.944900021E+02, 0.000000000E+00, 2.812077533E+02, 2.212117138E+05, 2.022986332E+05
        55, 1.638297872E-01, 0.000000000E+00, 8.061678302E+04, 9.992705598E-01, 1.952397728E+02, 0.000000000E+00, 2.810625856E+02, 2.212533824E+05, 2.021942008E+05
        56, 1.668085106E-01, 0.000000000E+00, 8.046771013E+04, 9.979493993E-01, 1.960028965E+02, 0.000000000E+00, 2.809142591E+02, 2.212959577E+05, 2.020874958E+05
        57, 1.697872340E-01, 0.000000000E+00, 8.031563373E+04, 9.966009006E-01, 1.967793821E+02, 0.000000000E+00, 2.807627415E+02, 2.213394490E+05, 2.019784953E+05
        58, 1.727659574E-01, 0.000000000E+00, 8.016053315E+04, 9.952248357E-01, 1.975692424E+02, 0.000000000E+00, 2.806079994E+02, 2.213838659E+05, 2.018671750E+05
        59, 1.757446809E-01, 0.000000000E+00, 8.000238689E+04, 9.938209672E-01, 1.983724939E+02, 0.000000000E+00, 2.804499981E+02, 2.214292182E+05, 2.017535101E+05
        60, 1.787234043E-01, 0.000000000E+00, 7.984117263E+04, 9.923890492E-01, 1.991891565E+02, 0.000000000E+00, 2.802887016E+02, 2.214755165E+05, 2.016374747E+05
        61, 1.817021277E-01, 0.000000000E+00, 7.967686723E+04, 9.909288268E-01, 2.000192535E+02, 0.000000000E+00, 2.801240726E+02, 2.215227712E+05, 2.015190419E+05
