nodenumber,    x-coordinate,    y-coordinate,        pressure,         density,      x-velocity,      y-velocity,     temperature,total-temperature,    total-energy, internal-energy
         1, 2.978723404E-03, 0.000000000E+00, 8.455452827E+04, 1.033922424E+00, 1.742741056E+02, 0.000000000E+00, 2.849112882E+02, 2.999999998E+02, 2.201486590E+05, 2.049629270E+05
         2, 5.957446809E-03, 0.000000000E+00, 8.455018867E+04, 1.033883806E+00, 1.742970928E+02, 0.000000000E+00, 2.849073074E+02, 2.999999996E+02, 2.201498014E+05, 2.049600632E+05
         3, 8.936170213E-03, 0.000000000E+00, 8.454391927E+04, 1.033829051E+00, 1.743319518E+02, 0.000000000E+00, 2.849012699E+02, 2.999999994E+02, 2.201515342E+05, 2.049557199E+05
         4, 1.191489362E-02, 0.000000000E+00, 8.453513487E+04, 1.033752226E+00, 1.743806220E+02, 0.000000000E+00, 2.848928383E+02, 2.999999992E+02, 2.201539542E+05, 2.049496543E+05
         5, 1.489361702E-02, 0.000000000E+00, 8.452386581E+04, 1.033653696E+00, 1.744430896E+02, 0.000000000E+00, 2.848820132E+02, 2.999999990E+02, 2.201570613E+05, 2.049418667E+05
         6, 1.787234043E-02, 0.000000000E+00, 8.451009446E+04, 1.033533295E+00, 1.745194268E+02, 0.000000000E+00, 2.848687793E+02, 2.999999988E+02, 2.201608597E+05, 2.049323464E+05
         7, 2.085106383E-02, 0.000000000E+00, 8.449381354E+04, 1.033390954E+00, 1.746096552E+02, 0.000000000E+00, 2.848531298E+02, 2.999999986E+02, 2.201653515E+05, 2.049210882E+05
         8, 2.382978723E-02, 0.000000000E+00, 8.447501863E+04, 1.033226629E+00, 1.747137822E+02, 0.000000000E+00, 2.848350596E+02, 2.999999984E+02, 2.201705381E+05, 2.049080887E+05
         9, 2.680851064E-02, 0.000000000E+00, 8.445370493E+04, 1.033040273E+00, 1.748318143E+02, 0.000000000E+00, 2.848145634E+02, 2.999999982E+02, 2.201764211E+05, 2.048933439E+05
        10, 2.978723404E-02, 0.000000000E+00, 8.442986734E+04, 1.032831836E+00, 1.749637582E+02, 0.000000000E+00, 2.847916350E+02, 2.999999981E+02, 2.201830022E+05, 2.048768494E+05
        11, 3.276595745E-02, 0.000000000E+00, 8.440350032E+04, 1.032601264E+00, 1.751096206E+02, 0.000000000E+00, 2.847662677E+02, 2.999999979E+02, 2.201902834E+05, 2.048586004E+05
        12, 3.574468085E-02, 0.000000000E+00, 8.437459792E+04, 1.032348498E+00, 1.752694086E+02, 0.000000000E+00, 2.847384544E+02, 2.999999977E+02, 2.201982667E+05, 2.048385917E+05
