nodenumber,    x-coordinate,    y-coordinate,        pressure,         density,      x-velocity,      y-velocity,     temperature,total-temperature,    total-energy, internal-energy
         1, 2.978723404E-03, 0.000000000E+00, 8.455468584E+04, 1.033923804E+00, 1.742732045E+02, 0.000000000E+00, 2.849114390E+02, 2.999999946E+02, 2.201486104E+05, 2.049630354E+05
         2, 5.957446809E-03, 0.000000000E+00, 8.455033778E+04, 1.033885109E+00, 1.742962119E+02, 0.000000000E+00, 2.849074507E+02, 2.999999904E+02, 2.201497510E+05, 2.049601663E+05
         3, 8.936170213E-03, 0.000000000E+00, 8.454406003E+04, 1.033830281E+00, 1.743310899E+02, 0.000000000E+00, 2.849014052E+02, 2.999999855E+02, 2.201514813E+05, 2.049558172E+05
         4, 1.191489362E-02, 0.000000000E+00, 8.453526702E+04, 1.033753381E+00, 1.743797792E+02, 0.000000000E+00, 2.848929654E+02, 2.999999803E+02, 2.201538987E+05, 2.049497457E+05
         5, 1.489361702E-02, 0.000000000E+00, 8.452398911E+04, 1.033654774E+00, 1.744422662E+02, 0.000000000E+00, 2.848821317E+02, 2.999999749E+02, 2.201570029E+05, 2.049419520E+05
         6, 1.787234043E-02, 0.000000000E+00, 8.451020875E+04, 1.033534294E+00, 1.745186228E+02, 0.000000000E+00, 2.848688892E+02, 2.999999694E+02, 2.201607985E+05, 2.049324255E+05
         7, 2.085106383E-02, 0.000000000E+00, 8.449391867E+04, 1.033391873E+00, 1.746088707E+02, 0.000000000E+00, 2.848532309E+02, 2.999999637E+02, 2.201652873E+05, 2.049211610E+05
         8, 2.382978723E-02, 0.000000000E+00, 8.447511446E+04, 1.033227467E+00, 1.747130174E+02, 0.000000000E+00, 2.848351518E+02, 2.999999579E+02, 2.201704708E+05, 2.049081551E+05
         9, 2.680851064E-02, 0.000000000E+00, 8.445379135E+04, 1.033041029E+00, 1.748310692E+02, 0.000000000E+00, 2.848146465E+02, 2.999999520E+02, 2.201763507E+05, 2.048934037E+05
        10, 2.978723404E-02, 0.000000000E+00, 8.442994426E+04, 1.032832509E+00, 1.749630328E+02, 0.000000000E+00, 2.847917090E+02, 2.999999460E+02, 2.201829286E+05, 2.048769026E+05
        11, 3.276595745E-02, 0.000000000E+00, 8.440356766E+04, 1.032601853E+00, 1.751089148E+02, 0.000000000E+00, 2.847663326E+02, 2.999999399E+02, 2.201902065E+05, 2.048586470E+05
        12, 3.574468085E-02, 0.000000000E+00, 8.437465562E+04, 1.032349002E+00, 1.752687224E+02, 0.000000000E+00, 2.847385100E+02, 2.999999338E+02, 2.201981864E+05, 2.048386317E+05
        13, 3.872340426E-02, 0.000000000E+00, 8.434320178E+04, 1.032073896E+00, 1.754424626E+02, 0.000000000E+00, 2.847082334E+02, 2.999999276E+02, 2.202068707E+05, 2.048168510E+05
        14, 4.170212766E-02, 0.000000000E+00, 8.430919936E+04, 1.031776466E+00, 1.756301426E+02, 0.000000000E+00, 2.846754944E+02, 2.999999213E+02, 2.202162618E+05, 2.047932987E+05
        15, 4.468085106E-02, 0.000000000E+00, 8.427264125E+04, 1.031456644E+00, 1.758317692E+02, 0.000000000E+00, 2.846402839E+02, 2.999999151E+02, 2.202263622E+05, 2.047679686E+05
        16, 4.765957447E-02, 0.000000000E+00, 8.423351996E+04, 1.031114354E+00, 1.760473487E+02, 0.000000000E+00, 2.846025925E+02, 2.999999088E+02, 2.202371747E+05, 2.047408537E+05
        17, 5.063829787E-02, 0.000000000E+00, 8.419182774E+04, 1.030749521E+00, 1.762768866E+02, 0.000000000E+00, 2.845624103E+02, 2.999999025E+02, 2.202487022E+05, 2.047119469E+05
        18, 5.361702128E-02, 0.000000000E+00, 8.414755655E+04, 1.030362064E+00, 1.765203877E+02, 0.000000000E+00, 2.845197268E+02, 2.999998962E+02, 2.202609477E+05, 2.046812408E+05
        19, 5.659574468E-02, 0.000000000E+00, 8.410069817E+04, 1.029951901E+00, 1.767778556E+02, 0.000000000E+00, 2.844745314E+02, 2.999998900E+02, 2.202739142E+05, 2.046487276E+05
        20, 5.957446809E-02, 0.000000000E+00, 8.405124418E+04, 1.029518947E+00, 1.770492925E+02, 0.000000000E+00, 2.844268129E+02, 2.999998837E+02, 2.202876049E+05, 2.046143993E+05
        21, 6.255319149E-02, 0.000000000E+00, 8.399918602E+04, 1.029063117E+00, 1.773346991E+02, 0.000000000E+00, 2.843765599E+02, 2.999998776E+02, 2.203020232E+05, 2.045782476E+05
        22, 6.553191489E-02, 0.000000000E+00, 8.394451506E+04, 1.028584321E+00, 1.776340745E+02, 0.000000000E+00, 2.843237607E+02, 2.999998714E+02, 2.203171725E+05, 2.045402643E+05
        23, 6.851063830E-02, 0.000000000E+00, 8.388722257E+04, 1.028082472E+00, 1.779474160E+02, 0.000000000E+00, 2.842684032E+02, 2.999998654E+02, 2.203330561E+05, 2.045004406E+05
        24, 7.148936170E-02, 0.000000000E+00, 8.382729981E+04, 1.027557479E+00, 1.782747188E+02, 0.000000000E+00, 2.842104754E+02, 2.999998594E+02, 2.203496775E+05, 2.044587678E+05
        25, 7.446808511E-02, 0.000000000E+00, 8.376473803E+04, 1.027009250E+00, 1.786159760E+02, 0.000000000E+00, 2.841499648E+02, 2.999998535E+02, 2.203670404E+05, 2.044152369E+05
        26, 7.744680851E-02, 0.000000000E+00, 8.369952850E+04, 1.026437695E+00, 1.789711786E+02, 0.000000000E+00, 2.840868588E+02, 2.999998477E+02, 2.203851484E+05, 2.043698390E+05
        27, 8.042553191E-02, 0.000000000E+00, 8.363166251E+04, 1.025842722E+00, 1.793403154E+02, 0.000000000E+00, 2.840211447E+02, 2.999998420E+02, 2.204040051E+05, 2.043225648E+05
        28, 8.340425532E-02, 0.000000000E+00, 8.356113142E+04, 1.025224238E+00, 1.797233728E+02, 0.000000000E+00, 2.839528096E+02, 2.999998364E+02, 2.204236142E+05, 2.042734050E+05
        29, 8.638297872E-02, 0.000000000E+00, 8.348792662E+04, 1.024582152E+00, 1.801203350E+02, 0.000000000E+00, 2.838818404E+02, 2.999998310E+02, 2.204439796E+05, 2.042223504E+05
        30, 8.936170213E-02, 0.000000000E+00, 8.341203960E+04, 1.023916369E+00, 1.805311840E+02, 0.000000000E+00, 2.838082239E+02, 2.999998256E+02, 2.204651050E+05, 2.041693912E+05
        31, 9.234042553E-02, 0.000000000E+00, 8.333346186E+04, 1.023226798E+00, 1.809558998E+02, 0.000000000E+00, 2.837319467E+02, 2.999998204E+02, 2.204869942E+05, 2.041145180E+05
        32, 9.531914894E-02, 0.000000000E+00, 8.325218497E+04, 1.022513346E+00, 1.813944601E+02, 0.000000000E+00, 2.836529952E+02, 2.999998154E+02, 2.205096512E+05, 2.040577209E+05
        33, 9.829787234E-02, 0.000000000E+00, 8.316820053E+04, 1.021775917E+00, 1.818468410E+02, 0.000000000E+00, 2.835713557E+02, 2.999998105E+02, 2.205330798E+05, 2.039989902E+05
        34, 1.012765957E-01, 0.000000000E+00, 8.308150015E+04, 1.021014418E+00, 1.823130166E+02, 0.000000000E+00, 2.834870143E+02, 2.999998057E+02, 2.205572843E+05, 2.039383156E+05
        35, 1.042553191E-01, 0.000000000E+00, 8.299207540E+04, 1.020228754E+00, 1.827929598E+02, 0.000000000E+00, 2.833999567E+02, 2.999998012E+02, 2.205822685E+05, 2.038756870E+05
        36, 1.072340426E-01, 0.000000000E+00, 8.289991782E+04, 1.019418827E+00, 1.832866420E+02, 0.000000000E+00, 2.833101684E+02, 2.999997967E+02, 2.206080367E+05, 2.038110940E+05
        37, 1.102127660E-01, 0.000000000E+00, 8.280501886E+04, 1.018584538E+00, 1.837940338E+02, 0.000000000E+00, 2.832176345E+02, 2.999997925E+02, 2.206345932E+05, 2.037445259E+05
        38, 1.131914894E-01, 0.000000000E+00, 8.270736984E+04, 1.017725789E+00, 1.843151049E+02, 0.000000000E+00, 2.831223400E+02, 2.999997885E+02, 2.206619422E+05, 2.036759718E+05
        39, 1.161702128E-01, 0.000000000E+00, 8.260696191E+04, 1.016842475E+00, 1.848498246E+02, 0.000000000E+00, 2.830242691E+02, 2.999997846E+02, 2.206900884E+05, 2.036054204E+05
        40, 1.191489362E-01, 0.000000000E+00, 8.250378598E+04, 1.015934492E+00, 1.853981621E+02, 0.000000000E+00, 2.829234059E+02, 2.999997809E+02, 2.207190362E+05, 2.035328601E+05
        41, 1.221276596E-01, 0.000000000E+00, 8.239783272E+04, 1.015001730E+00, 1.859600868E+02, 0.000000000E+00, 2.828197337E+02, 2.999997774E+02, 2.207487906E+05, 2.034582792E+05
        42, 1.251063830E-01, 0.000000000E+00, 8.228909246E+04, 1.014044077E+00, 1.865355687E+02, 0.000000000E+00, 2.827132353E+02, 2.999997741E+02, 2.207793563E+05, 2.033816651E+05
        43, 1.280851064E-01, 0.000000000E+00, 8.217755515E+04, 1.013061416E+00, 1.871245783E+02, 0.000000000E+00, 2.826038930E+02, 2.999997710E+02, 2.208107386E+05, 2.033030051E+05
        44, 1.310638298E-01, 0.000000000E+00, 8.206321033E+04, 1.012053625E+00, 1.877270878E+02, 0.000000000E+00, 2.824916882E+02, 2.999997681E+02, 2.208429427E+05, 2.032222858E+05
        45, 1.340425532E-01, 0.000000000E+00, 8.194604704E+04, 1.011020578E+00, 1.883430703E+02, 0.000000000E+00, 2.823766017E+02, 2.999997654E+02, 2.208759742E+05, 2.031394935E+05
        46, 1.370212766E-01, 0.000000000E+00, 8.182605379E+04, 1.009962142E+00, 1.889725013E+02, 0.000000000E+00, 2.822586133E+02, 2.999997629E+02, 2.209098388E+05, 2.030546136E+05
        47, 1.400000000E-01, 0.000000000E+00, 8.170321851E+04, 1.008878179E+00, 1.896153579E+02, 0.000000000E+00, 2.821377023E+02, 2.999997606E+02, 2.209445426E+05, 2.029676312E+05
        48, 1.429787234E-01, 0.000000000E+00, 8.157752849E+04, 1.007768543E+00, 1.902716197E+02, 0.000000000E+00, 2.820138466E+02, 2.999997586E+02, 2.209800918E+05, 2.028785304E+05
        49, 1.459574468E-01, 0.000000000E+00, 8.144897037E+04, 1.006633081E+00, 1.909412689E+02, 0.000000000E+00, 2.818870234E+02, 2.999997567E+02, 2.210164930E+05, 2.027872948E+05
        50, 1.489361702E-01, 0.000000000E+00, 8.131753004E+04, 1.005471635E+00, 1.916242907E+02, 0.000000000E+00, 2.817572088E+02, 2.999997551E+02, 2.210537530E+05, 2.026939072E+05
        51, 1.519148936E-01, 0.000000000E+00, 8.118319267E+04, 1.004284036E+00, 1.923206731E+02, 0.000000000E+00, 2.816243780E+02, 2.999997536E+02, 2.210918790E+05, 2.025983497E+05
        52, 1.548936170E-01, 0.000000000E+00, 8.104594264E+04, 1.003070110E+00, 1.930304076E+02, 0.000000000E+00, 2.814885047E+02, 2.999997524E+02, 2.211308786E+05, 2.025006036E+05
        53, 1.578723404E-01, 0.000000000E+00, 8.090576352E+04, 1.001829671E+00, 1.937534889E+02, 0.000000000E+00, 2.813495618E+02, 2.999997513E+02, 2.211707594E+05, 2.024006492E+05
        54, 1.608510638E-01, 0.000000000E+00, 8.076263806E+04, 1.000562528E+00, 1.944899153E+02, 0.000000000E+00, 2.812075209E+02, 2.999997505E+02, 2.212115297E+05, 2.022984660E+05
        55, 1.638297872E-01, 0.000000000E+00, 8.061654814E+04, 9.992684783E-01, 1.952396885E+02, 0.000000000E+00, 2.810623522E+02, 2.999997499E+02, 2.212531980E+05, 2.021940329E+05
        56, 1.668085106E-01, 0.000000000E+00, 8.046747481E+04, 9.979473128E-01, 1.960028142E+02, 0.000000000E+00, 2.809140249E+02, 2.999997495E+02, 2.212957732E+05, 2.020873274E+05
        57, 1.697872340E-01, 0.000000000E+00, 8.031539827E+04, 9.965988117E-01, 1.967793014E+02, 0.000000000E+00, 2.807625069E+02, 2.999997493E+02, 2.213392644E+05, 2.019783265E+05
        58, 1.727659574E-01, 0.000000000E+00, 8.016029784E+04, 9.952227470E-01, 1.975691629E+02, 0.000000000E+00, 2.806077646E+02, 2.999997493E+02, 2.213836813E+05, 2.018670061E+05
        59, 1.757446809E-01, 0.000000000E+00, 8.000215203E+04, 9.938188813E-01, 1.983724152E+02, 0.000000000E+00, 2.804497634E+02, 2.999997495E+02, 2.214290338E+05, 2.017533413E+05
        60, 1.787234043E-01, 0.000000000E+00, 7.984093850E+04, 9.923869686E-01, 1.991890781E+02, 0.000000000E+00, 2.802884673E+02, 2.999997499E+02, 2.214753323E+05, 2.016373062E+05
        61, 1.817021277E-01, 0.000000000E+00, 7.967663412E+04, 9.909267540E-01, 2.000191750E+02, 0.000000000E+00, 2.801238390E+02, 2.999997505E+02, 2.215225875E+05, 2.015188739E+05
        62, 1.846808511E-01, 0.000000000E+00, 7.950921496E+04, 9.894379740E-01, 2.008627325E+02, 0.000000000E+00, 2.799558399E+02, 2.999997513E+02, 2.215708104E+05, 2.013980166E+05
        63, 1.876595745E-01, 0.000000000E+00, 7.933865636E+04, 9.879203569E-01, 2.017197805E+02, 0.000000000E+00, 2.797844302E+02, 2.999997522E+02, 2.216200124E+05, 2.012747059E+05
        64, 1.906382979E-01, 0.000000000E+00, 7.916493293E+04, 9.863736228E-01, 2.025903518E+02, 0.000000000E+00, 2.796095688E+02, 2.999997534E+02, 2.216702054E+05, 2.011489120E+05
        65, 1.936170213E-01, 0.000000000E+00, 7.898801863E+04, 9.847974838E-01, 2.034744820E+02, 0.000000000E+00, 2.794312135E+02, 2.999997547E+02, 2.217214015E+05, 2.010206046E+05
        66, 1.965957447E-01, 0.000000000E+00, 7.880788678E+04, 9.831916447E-01, 2.043722093E+02, 0.000000000E+00, 2.792493207E+02, 2.999997562E+02, 2.217736131E+05, 2.008897523E+05
        67, 1.995744681E-01, 0.000000000E+00, 7.862451010E+04, 9.815558031E-01, 2.052835744E+02, 0.000000000E+00, 2.790638458E+02, 2.999997579E+02, 2.218268532E+05, 2.007563232E+05
        68, 2.025531915E-01, 0.000000000E+00, 7.843786081E+04, 9.798896499E-01, 2.062086201E+02, 0.000000000E+00, 2.788747430E+02, 2.999997597E+02, 2.218811347E+05, 2.006202841E+05
        69, 2.055319149E-01, 0.000000000E+00, 7.824791062E+04, 9.781928695E-01, 2.071473911E+02, 0.000000000E+00, 2.786819653E+02, 2.999997618E+02, 2.219364712E+05, 2.004816013E+05
        70, 2.085106383E-01, 0.000000000E+00, 7.805463085E+04, 9.764651405E-01, 2.080999339E+02, 0.000000000E+00, 2.784854647E+02, 2.999997639E+02, 2.219928765E+05, 2.003402404E+05
        71, 2.114893617E-01, 0.000000000E+00, 7.785799240E+04, 9.747061358E-01, 2.090662966E+02, 0.000000000E+00, 2.782851921E+02, 2.999997662E+02, 2.220503647E+05, 2.001961659E+05
        72, 2.144680851E-01, 0.000000000E+00, 7.765796590E+04, 9.729155233E-01, 2.100465284E+02, 0.000000000E+00, 2.780810975E+02, 2.999997687E+02, 2.221089501E+05, 2.000493418E+05
        73, 2.174468085E-01, 0.000000000E+00, 7.745452168E+04, 9.710929661E-01, 2.110406796E+02, 0.000000000E+00, 2.778731298E+02, 2.999997713E+02, 2.221686473E+05, 1.998997315E+05
        74, 2.204255319E-01, 0.000000000E+00, 7.724762988E+04, 9.692381230E-01, 2.120488015E+02, 0.000000000E+00, 2.776612370E+02, 2.999997741E+02, 2.222294714E+05, 1.997472974E+05
        75, 2.234042553E-01, 0.000000000E+00, 7.703726047E+04, 9.673506489E-01, 2.130709460E+02, 0.000000000E+00, 2.774453660E+02, 2.999997770E+02, 2.222914374E+05, 1.995920016E+05
