nodenumber,    x-coordinate,    y-coordinate,        pressure,         density,      x-velocity,      y-velocity,     temperature,    total-energy, internal-energy
         1, 2.978723404E-03, 0.000000000E+00, 8.455453895E+04, 1.033922518E+00, 1.742740474E+02, 0.000000000E+00, 2.849112985E+02, 2.201486562E+05, 2.049629344E+05
         2, 5.957446809E-03, 0.000000000E+00, 8.455019970E+04, 1.033883902E+00, 1.742970338E+02, 0.000000000E+00, 2.849073180E+02, 2.201497988E+05, 2.049600708E+05
         3, 8.936170213E-03, 0.000000000E+00, 8.454393065E+04, 1.033829151E+00, 1.743318920E+02, 0.000000000E+00, 2.849012808E+02, 2.201515317E+05, 2.049557277E+05
         4, 1.191489362E-02, 0.000000000E+00, 8.453514660E+04, 1.033752329E+00, 1.743805614E+02, 0.000000000E+00, 2.848928496E+02, 2.201539518E+05, 2.049496624E+05
         5, 1.489361702E-02, 0.000000000E+00, 8.452387789E+04, 1.033653802E+00, 1.744430282E+02, 0.000000000E+00, 2.848820248E+02, 2.201570589E+05, 2.049418751E+05
         6, 1.787234043E-02, 0.000000000E+00, 8.451010689E+04, 1.033533404E+00, 1.745193646E+02, 0.000000000E+00, 2.848687912E+02, 2.201608574E+05, 2.049323550E+05
         7, 2.085106383E-02, 0.000000000E+00, 8.449382633E+04, 1.033391066E+00, 1.746095922E+02, 0.000000000E+00, 2.848531421E+02, 2.201653493E+05, 2.049210971E+05
         8, 2.382978723E-02, 0.000000000E+00, 8.447503177E+04, 1.033226744E+00, 1.747137184E+02, 0.000000000E+00, 2.848350723E+02, 2.201705360E+05, 2.049080978E+05
         9, 2.680851064E-02, 0.000000000E+00, 8.445371842E+04, 1.033040391E+00, 1.748317498E+02, 0.000000000E+00, 2.848145763E+02, 2.201764191E+05, 2.048933532E+05
        10, 2.978723404E-02, 0.000000000E+00, 8.442988116E+04, 1.032831957E+00, 1.749636929E+02, 0.000000000E+00, 2.847916483E+02, 2.201830004E+05, 2.048768589E+05
        11, 3.276595745E-02, 0.000000000E+00, 8.440351448E+04, 1.032601388E+00, 1.751095546E+02, 0.000000000E+00, 2.847662814E+02, 2.201902816E+05, 2.048586102E+05
        12, 3.574468085E-02, 0.000000000E+00, 8.437461239E+04, 1.032348625E+00, 1.752693419E+02, 0.000000000E+00, 2.847384684E+02, 2.201982650E+05, 2.048386017E+05
        13, 3.872340426E-02, 0.000000000E+00, 8.434316853E+04, 1.032073605E+00, 1.754430619E+02, 0.000000000E+00, 2.847082014E+02, 2.202069528E+05, 2.048168279E+05
        14, 4.170212766E-02, 0.000000000E+00, 8.430917612E+04, 1.031776263E+00, 1.756307219E+02, 0.000000000E+00, 2.846754720E+02, 2.202163474E+05, 2.047932826E+05
        15, 4.468085106E-02, 0.000000000E+00, 8.427262799E+04, 1.031456528E+00, 1.758323286E+02, 0.000000000E+00, 2.846402711E+02, 2.202264514E+05, 2.047679594E+05
        16, 4.765957447E-02, 0.000000000E+00, 8.423351667E+04, 1.031114325E+00, 1.760478884E+02, 0.000000000E+00, 2.846025893E+02, 2.202372675E+05, 2.047408514E+05
        17, 5.063829787E-02, 0.000000000E+00, 8.419183436E+04, 1.030749579E+00, 1.762774069E+02, 0.000000000E+00, 2.845624167E+02, 2.202487985E+05, 2.047119515E+05
        18, 5.361702128E-02, 0.000000000E+00, 8.414757304E+04, 1.030362208E+00, 1.765208888E+02, 0.000000000E+00, 2.845197427E+02, 2.202610476E+05, 2.046812522E+05
        19, 5.659574468E-02, 0.000000000E+00, 8.410072444E+04, 1.029952130E+00, 1.767783377E+02, 0.000000000E+00, 2.844745568E+02, 2.202740176E+05, 2.046487458E+05
        20, 5.957446809E-02, 0.000000000E+00, 8.405128013E+04, 1.029519262E+00, 1.770497559E+02, 0.000000000E+00, 2.844268476E+02, 2.202877120E+05, 2.046144242E+05
        21, 6.255319149E-02, 0.000000000E+00, 8.399923156E+04, 1.029063515E+00, 1.773351441E+02, 0.000000000E+00, 2.843766039E+02, 2.203021338E+05, 2.045782793E+05
        22, 6.553191489E-02, 0.000000000E+00, 8.394457006E+04, 1.028584803E+00, 1.776345016E+02, 0.000000000E+00, 2.843238138E+02, 2.203172866E+05, 2.045403026E+05
        23, 6.851063830E-02, 0.000000000E+00, 8.388728690E+04, 1.028083035E+00, 1.779478254E+02, 0.000000000E+00, 2.842684655E+02, 2.203331737E+05, 2.045004854E+05
        24, 7.148936170E-02, 0.000000000E+00, 8.382737332E+04, 1.027558123E+00, 1.782751108E+02, 0.000000000E+00, 2.842105466E+02, 2.203497986E+05, 2.044588190E+05
        25, 7.446808511E-02, 0.000000000E+00, 8.376482055E+04, 1.027009973E+00, 1.786163511E+02, 0.000000000E+00, 2.841500447E+02, 2.203671649E+05, 2.044152944E+05
        26, 7.744680851E-02, 0.000000000E+00, 8.369961986E+04, 1.026438496E+00, 1.789715371E+02, 0.000000000E+00, 2.840869474E+02, 2.203852762E+05, 2.043699027E+05
        27, 8.042553191E-02, 0.000000000E+00, 8.363176253E+04, 1.025843599E+00, 1.793406577E+02, 0.000000000E+00, 2.840212417E+02, 2.204041363E+05, 2.043226346E+05
        28, 8.340425532E-02, 0.000000000E+00, 8.356123989E+04, 1.025225189E+00, 1.797236994E+02, 0.000000000E+00, 2.839529149E+02, 2.204237487E+05, 2.042734808E+05
        29, 8.638297872E-02, 0.000000000E+00, 8.348804335E+04, 1.024583175E+00, 1.801206463E+02, 0.000000000E+00, 2.838819537E+02, 2.204441172E+05, 2.042224319E+05
        30, 8.936170213E-02, 0.000000000E+00, 8.341216435E+04, 1.023917463E+00, 1.805314806E+02, 0.000000000E+00, 2.838083451E+02, 2.204652457E+05, 2.041694784E+05
        31, 9.234042553E-02, 0.000000000E+00, 8.333359441E+04, 1.023227961E+00, 1.809561819E+02, 0.000000000E+00, 2.837320755E+02, 2.204871379E+05, 2.041146107E+05
        32, 9.531914894E-02, 0.000000000E+00, 8.325232508E+04, 1.022514575E+00, 1.813947283E+02, 0.000000000E+00, 2.836531315E+02, 2.205097978E+05, 2.040578190E+05
        33, 9.829787234E-02, 0.000000000E+00, 8.316834796E+04, 1.021777211E+00, 1.818470957E+02, 0.000000000E+00, 2.835714992E+02, 2.205332294E+05, 2.039990934E+05
        34, 1.012765957E-01, 0.000000000E+00, 8.308165463E+04, 1.021015775E+00, 1.823132584E+02, 0.000000000E+00, 2.834871648E+02, 2.205574366E+05, 2.039384238E+05
        35, 1.042553191E-01, 0.000000000E+00, 8.299223667E+04, 1.020230170E+00, 1.827931891E+02, 0.000000000E+00, 2.834001139E+02, 2.205824235E+05, 2.038758001E+05
        36, 1.072340426E-01, 0.000000000E+00, 8.290008562E+04, 1.019420301E+00, 1.832868593E+02, 0.000000000E+00, 2.833103320E+02, 2.206081943E+05, 2.038112117E+05
        37, 1.102127660E-01, 0.000000000E+00, 8.280519291E+04, 1.018586068E+00, 1.837942396E+02, 0.000000000E+00, 2.832178044E+02, 2.206347532E+05, 2.037446481E+05
        38, 1.131914894E-01, 0.000000000E+00, 8.270754986E+04, 1.017727372E+00, 1.843152997E+02, 0.000000000E+00, 2.831225158E+02, 2.206621047E+05, 2.036760983E+05
        39, 1.161702128E-01, 0.000000000E+00, 8.260714760E+04, 1.016844109E+00, 1.848500090E+02, 0.000000000E+00, 2.830244507E+02, 2.206902531E+05, 2.036055510E+05
        40, 1.191489362E-01, 0.000000000E+00, 8.250397706E+04, 1.015936173E+00, 1.853983366E+02, 0.000000000E+00, 2.829235929E+02, 2.207192031E+05, 2.035329946E+05
        41, 1.221276596E-01, 0.000000000E+00, 8.239802889E+04, 1.015003457E+00, 1.859602518E+02, 0.000000000E+00, 2.828199258E+02, 2.207489595E+05, 2.034584174E+05
        42, 1.251063830E-01, 0.000000000E+00, 8.228929341E+04, 1.014045847E+00, 1.865357247E+02, 0.000000000E+00, 2.827134323E+02, 2.207795271E+05, 2.033818068E+05
        43, 1.280851064E-01, 0.000000000E+00, 8.217776058E+04, 1.013063226E+00, 1.871247260E+02, 0.000000000E+00, 2.826040945E+02, 2.208109112E+05, 2.033031501E+05
        44, 1.310638298E-01, 0.000000000E+00, 8.206341993E+04, 1.012055473E+00, 1.877272275E+02, 0.000000000E+00, 2.824918940E+02, 2.208431170E+05, 2.032224339E+05
        45, 1.340425532E-01, 0.000000000E+00, 8.194626050E+04, 1.011022461E+00, 1.883432027E+02, 0.000000000E+00, 2.823768115E+02, 2.208761501E+05, 2.031396444E+05
        46, 1.370212766E-01, 0.000000000E+00, 8.182627080E+04, 1.009964057E+00, 1.889726267E+02, 0.000000000E+00, 2.822588268E+02, 2.209100161E+05, 2.030547672E+05
        47, 1.400000000E-01, 0.000000000E+00, 8.170343876E+04, 1.008880123E+00, 1.896154769E+02, 0.000000000E+00, 2.821379192E+02, 2.209447212E+05, 2.029677872E+05
